Name,Budget(in millions),Stage,Digital Presence,Target Industry,End Goal,Digital Marketing Strategy
DISQO,16.5,Growth,8,Advertisement,Brand Awareness,Social Media Marketing
Salsify,252.6,Expansion,9,Sales,Sales,Email Marketing
MachineMetrics,37.65,Growth,7,IT,Leads,Social Media Marketing
Minds,17.38,Growth,6,IT,Brand Awareness,Social Media Marketing
Oyster,74.2,Growth,8,HR,Leads,SEO
Curate,1.75,Seed,5,Marketing,Brand Awareness,Social Media Marketing
Indigo,"1,169.00",Expansion,9,Natural Microbiology,Sales,Social Media Marketing
Golde,NA,Seed,7,Personal Care,Brand Awareness,Social Media Marketing
Tonal,450,Seed,9,Fitness,Sales,Social Media Marketing
Chainalysis,536.6,Seed,8,Anti-money Laundering,Leads,SEO
Fortified Insight,3.6,Seed,7,IT,Brand Awareness,Social Media Marketing
OmniAI,0.5,Pre-Seed,6,IT,Sales,Email Marketing
Roe AI,0.5,Pre-Seed,6,IT,Leads,Social Media Marketing
Meticulate,0.5,Pre-Seed,5,IT,Decision Making,SEO
Momentum,NA,Seed,8,IT,Brand Awareness,Social Media Marketing
Ivo,4.8,Seed,7,IT,Leads,Email Marketing
Eggnog AI,0.5,Pre-Seed,6,IT,Brand Awareness,Social Media Marketing
HeyPurple,0.5,Pre-Seed,7,IT,Sales,SEO
Image Audiovisuals,NA,Growth,5,IT,Brand Awareness,Social Media Marketing
Camp Network,4,Seed,6,IT,Leads,Email Marketing
Blocklords,15,Growth,8,Gaming,Brand Awareness,Social Media Marketing
Ernest Energy,13.35,Seed,7,Energy,Sales,SEO
SynMax,13,Seed,9,IT,Leads,SEO
CarbonPool,12.16,Seed,6,Insurance,Brand Awareness,Social Media Marketing
Aniai,12,Seed,5,IT,Sales,Social Media Marketing
Rainbow,12,Seed,7,Insurance,Leads,Social Media Marketing
by Humankind,4,Seed,7,Personal Care,Brand Awareness,Social Media Marketing
Clear For Me,150,Seed,5,Personal Care,Leads,Social Media Marketing
Chain,43.7,Seed,8,IT,Leads,Social Media Marketing
Unread.club,0,Growth,3,IT,Brand Awareness,Social Media Marketing
Homified,10,Expansion,7,IT,Sales,Social Media Marketing
Babble,0,Growth,5,Logistics,Sales,Email Marketing
"Mia Kutchina
",0,Growth,6,Food,Brand Awareness,Social Media Marketing
Dark Labs,0,Expansion,0,IT,Conversion,Email Marketing
